"","Text","Types","Tokens","Sentences","content"
"58","Emma Judds Laser Cut Castle #ArtTuesday  Adafruit Industries  Makers, hackers, artists, designers and engineers!.txt",117,153,15,"March 1, 2016 AT 3:00 pm Emma Judds Laser Cut Castle #ArtTuesday

Thanks so much to Richard for sending in this tip. Richard writes:

Just a quick hit today; something we wanted to share that came out of an exceptionally cool laser cutter certification. Behold! A neat mountainside castle by local artist Emma Judd! While getting her certification, Emma also brought along several sheets of cardboard to cut and a bunch of cut files. Two birds, one stone!

Read more and check out Emma Judds site

Maker Business  Preparing for Production of The Essential Guide To Electronics in Shenzhen Wearables  Proper planning promotes positive results Electronics  Test for interference on the cheap! Biohacking  Drinking coffee may undo liver damage from booze

Get the only spam-free daily newsletter about wearables, running a ""maker business"", electronic tips and more! Subscribe at AdafruitDaily.com

No comments yet.

Sorry, the comment form is closed at this time."
"59","EPA bans a pesticide often used on almonds and other California crops.txt",246,435,24,"Federal regulators said Tuesday they will ban a pesticide widely used on California crops such as almonds and alfalfa, saying it imperils aquatic insects that are the food source of fish.

The U.S. Environmental Protection Agency on Tuesday filed an intent to cancel registration of all products containing flubendiamide, most commonly used in Belt, manufactured by Bayer CropScience, based in Germany. The chemical is also used in products made by Nichino America.

See the most-read stories this hour >>

Canceling the registration would prohibit any further sales of products that include the ingredient.

The EPA said it found that the compound breaks down into a more toxic chemical that is harmful to insects that are an important element of the aquatic food chain.

California growers have used the chemical since 2008, and they applied 42,495 pounds of it to 521,140 acres in 2013, the last year for which complete data were available, according to the state Department of Pesticide Regulation.

More than a third of that was applied to almonds: 14,693 pounds on 125,557 acres, according to the department. Growers applied 6,002 pounds of it to 91,828 acres of alfalfa, and 3,684 pounds to 78,348 acres of processing tomatoes, which are used in paste and other products.

MORE: Get our best stories in your Facebook feed >>

Other top crops that used more than 1,000 pounds of the chemical included corn, walnuts, cotton, sunflowers, wine grapes, pistachios and table grapes, according to the department.

A spokesman for Bayer was not immediately available for comment Tuesday.

Last month, Bayer refused a request by the EPA to voluntarily cancel use of the product, saying it strongly disagreed with methods the agency used to study the chemicals effects.

Denying a products registration and ignoring its safe use history based on unrealistic theoretical calculations calls into question the EPAs commitment to innovation and sustainable agriculture, Dana Sargent, Bayer vice president of regulatory affairs, said at the time.

The California Almond Board said it hoped Bayer and EPA could find ""a fair and science-based process to assess the chemical's safety.

Environmental groups praised the EPAs decision even as they warned that many chemicals receive conditional approvals before their safety can be fully vetted.

Id love to see the EPA build on this decision and seriously consider halting the conditional registration of pesticides, said Nathan Donley, a scientist with the Center for Biological Diversity, an environmental advocacy group.

Twitter: @LATgeoffmohan

ALSO

With Harry Potter land, Universal banks on merchandising magic

Glass slide suspended from 1,000 feet up? It's coming to downtown L.A.

Why millennials are staying away from homeownership despite an improving economy"
"60","Error page.txt",49,63,6,">> Page not found





The page you have requested might no longer exist, has had its name changed, or is temporarily unavailable.



Suggestions:



 If you typed the page address/URL, make sure it is spelt correctly.



 Open the Indiatimes.com homepage or sitemap and look for links to the information you want.



 Use the ""Back"" button on your browser to return to the previous page.


"
"61","EU migrant crisis_ Calais 'Jungle' clearance work resumes.txt",408,783,50,"Media caption ""Samir"" says the demolition makes him feel ""not human""

Demolition teams have been dismantling more makeshift shelters in the migrant camp known as the ""Jungle"" in the French port of Calais.

They met little resistance in contrast to Monday, when there were clashes.

French police have warned that they will use force if the migrants refuse to move to nearby shipping containers.

But many migrants fear they will be required to claim asylum in France and give up hope of travelling to Britain.

French authorities believe about 1,000 migrants will be affected by the eviction plan while aid agencies say the number of people living there is much higher.

On Tuesday, riot police entered the camp with shields, batons, helmets and tear gas - prepared for trouble, but meeting little resistance, reports the BBC's Anna Holligan in Calais.

They were followed by bulldozers, which cleared away wooden pallets, blankets and debris.

Those living in the camp, mainly from the Middle East, Afghanistan and Africa, hope to cross the Channel to the UK, often using people traffickers to try to enter illegally.

About 100 shacks were dismantled on Monday. At least 12 shelters were set ablaze.

'Borders of pain' - media analysis by BBC Monitoring

In France, the camp clearance is generally not on the front pages, although regional daily La Voix du Nord is headlined ""Jungle set ablaze"".

National paper Le Figaro has a feature on migrants who are so fed up with the life in the Jungle that they want to go home. ""We're treated like animals. We're slowly dying,"" Afghan Nasrat says.

In Germany, the papers focus on Monday's storming of the Greek-Macedonian border and the continuing debate over Chancellor Angela Merkel's liberal migration policy.

""Europe's pain threshold,"" says a headline in Die Welt, using a word that also translates as ""borders of pain"".

""Athens loses control over refugees,"" says Sueddeutsche Zeitung, arguing in a in a commentary that the ""suffering"" on display in Greece vindicates Mrs Merkel's approach, while an article in the Frankfurter Allgemeine Zeitung believes Ms Merkel is failing to win over the other EU states and Turkey.

The story is also well covered in Russia, whose government - according to some - sees the refugee crisis as a way to sow division in the EU.

On Monday, under cover of darkness, migrants tried to access lorries on the motorway heading towards the port.

French media say about 150 people, some wielding sticks and iron bars, walked on to the road to block vehicles.

Riot police fired tear gas, forcing them back, our correspondent reports.

Image copyright Getty Images Image caption A woman threatened to cut her wrist as French police tried to remove her from the camp on Tuesday

In pictures: Anger as 'Jungle' cleared

At least four people, including activists from the UK-based No Borders group, were arrested during Monday's unrest, police say.

Earlier, Good Chance, a theatre group which works in the camp, said police were stopping volunteers from entering the camp.

French officials say public areas such as places of worship or schools will not be affected. They describe the clearance as a ""humanitarian operation"".

Conditions in the southern sector are squalid and the camp's sprawling presence has become a controversial issue in both France and the UK.

The Jungle in numbers

Image copyright AFP

Total camp population is disputed - Calais officials say it houses 3,700, while Help Refugees puts it at 5,497

Figures for the southern half (facing immediate eviction threat) are estimated at either 800-1,000 or 3,455

There are 205 women and 651 children (423 unaccompanied), says Help Refugees

Local government's long-term aim is to have no more than 2,000 migrants living in Calais, says its chief, Fabienne Buccio

Tea, rivalry and ambition at 'Jungle hotel'

Jungle migrants prepare to move

Migrants resist relocation to containers

Officials say migrants can either move into converted containers in the northern sector of the camp, where there is room for 1,500 people; move to similar accommodation centres elsewhere in France; or claim asylum in France.

But many residents are reluctant to leave the Calais area.

Afghan migrant Hayat Sirat told AP news agency: ""Going to Britain... is what people [here] want. So destroying part of the Jungle is not the solution.""

Image caption Containers have been built to house some of the migrants

Image caption The authorities want to clear a section of the south area of the camp

Are you in the area? Have you been affected by the evictions? Email haveyoursay@bbc.co.uk with your stories if it is safe to do so.

Please include a contact number if you are willing to speak to a BBC journalist. You can also contact us in the following ways:"
"62","EU referendum_ How British expats in Spain feel about the vote.txt",401,863,48,"Image caption Brian Last (second from right) watches his beloved Gunners

Brian Last seems to have two great passions in life: Arsenal Football Club and the European Union.

At an expat bar in Benalmadena, on the Costa del Sol, Brian was watching his club play a Champions League match on television. And the animation he displayed whenever his team got the ball was matched by his passion for the EU.

""I've got really good Spanish friends. Obviously, I feel English and British first, then I feel European,"" he says.

What worries Brian is that Britain might now vote to leave the European Union.

""If I decided to up sticks, I could go to Portugal or France. But if Britain decides to leave that may change.""

No-one knows how many British people are, like Brian, long-term residents in Spain; the number is thought to be anywhere between 300,000 and 700,000.

Image caption Hundreds of thousands of British citizens live in Spain

But the British government has warned that two million British expats in Europe could be adversely affected in the event of an Out vote. Their right to free healthcare and their basic right to work could both be jeopardised, a Cabinet Office report says.

Campaigners to leave the European Union have dismissed the report's findings as ""scaremongering"", part of what they see as a long-term strategy by the government which they have dubbed ""project fear"". It aims, they say, to persuade voters to stick with what they know and remain inside the EU.

'Not just the money'

But fears about leaving the EU are all too real, as far as Christine Rowlands is concerned. She's the chairwoman of the Costa del Sol branch of Conservatives Abroad, and insists that the party locally is united in wanting to remain inside the EU, unlike her political counterparts back home.

""It's not just about the money,"" she insists. ""Our friends are Danish, German, Spanish. It's about a united Europe.""

Image copyright Christine Rowlands/Facebook Image caption Christine Rowlands says expats want a ""united Europe""

Asked what she makes of the Conservative debate on Europe back home in Britain, Christine giggles a little mischievously. ""It's like a children's playground,"" she says.

There is certainly a stark contrast here with the situation back home, where local Conservative Associations are perceived mainly to be of a Eurosceptic bent.

Eurosceptic voices

But in fact, there are plenty of Eurosceptic opinions to be heard on the Costa del Sol if you listen to the local English language radio station, Talk Radio Europe, and particularly its weekly phone-in show Viewpoint. It recently devoted a whole edition to the EU referendum, prompting many callers to sound off against the EU and all its works.

David Cameron was denounced for fighting to keep Britain in, while Boris Johnson was praised for his ""courage"" in joining the Out camp. ""We did not vote for federalism, we voted for a common market,"" protested one listener.

Viewpoint's presenter is Richard Tildesley, a man with his ear very much glued to the ground when it comes to political opinion among expats. And he believes that living on the European mainland has put many people off the EU, however cosmopolitan their lives.

Image caption Richard Tildesley says many expats see the EU as destroying local, individual cultures

They are not impressed by how EU funds are spent, he believes, thinking the money is wasted on unnecessary projects while neglecting problems that badly need sorting out. Tildesley also argues that expats see the EU as destroying the very aspects of Spanish life that originally drew them to the country.

""What they perceive being created at the moment is a rather bland, pan-European homogenised culture.""

Registration drive

Given the strength of opinion on this subject, it is perhaps surprising that so few expats in Spain have actually registered to vote, either in the forthcoming referendum, or indeed for any British elections.

Image copyright Getty Images Image caption The British embassy in Spain is encouraging British expats to register for the vote

British citizens who leave the country are entitled to vote, providing they have been away for less than 15 years. But so far, only 11,000 people from the hundreds of thousands in Spain are on course to make use of this right.

The British embassy in Spain has launched a campaign to persuade British expats to register for the vote, a campaign that is being mirrored in countries across the world. It will use Facebook and Twitter to get its message across, but the embassy will also work with local Anglican churches, charities and any other organisations where expats are found.

""Registration of expat voters is fairly low across the world,"" British ambassador Simon Manley complains. Like any good diplomat, he gives no hint of his own view on the UK's membership of the EU, but he is passionate about the need for more voter engagement.

""The referendum is a once-in-a-generation opportunity to determine the future of our country. Whatever their views, wherever they live, I think it's important people exercise that right to vote.""

For more on this story listen to Paul Moss's report on The World Tonight."
"63","Eva Amurri Martino tells the story of the naughty nanny -- the one her husband had to fire.txt",417,896,60,"Eva Amurri Martino had to fire her daughter's nanny early in February. Then on Tuesday, her husband, Kyle Martino, had to fire the new nanny. Now she's revealing why that went down and, in her own words, it's a ""CRAZY (and salacious)"" story.

Kyle told Eva about the second firing while she was on her way back from a one-day business trip in New York, the actress and mom wrote Monday on her blog, Happily Eva After.

"" 'Don't panic,' he told me, 'But I had to fire the Nanny this morning. Let me tell you the whole story before you freak out.' And tell me, he did  while my stomach dropped out of my body and my hairs stood up on the back of my neck.""

Oh. Em. Gee.  There is a CRAZY (and salacious) story up on the blog today. https://t.co/ZHreeWnxKo pic.twitter.com/l4j2ZaQzWj  Eva Amurri Martino (@TheHappilyEva) February 29, 2016

Nanny No. 1 had been let go after an uncomfortable confrontation that Eva  Susan Sarandon's daughter  didn't go into detail about on her blog.

""The gist is that I caught her being untruthful with me in a major way,"" she wrote. ""When I asked her some further questions and gave her the opportunity to come clean, she became defensive, insulting, and derogatory. It was absolutely shocking, and what I now realize was a viscerally defensive reaction to having been discovered in this lie.""

She characterized it as ""a major break up  of a relationship that I had been in for just under a year and a half. It was completely unexpected and deeply emotional, and it brought up many feelings for everyone in our family.""

The firing of Nanny No. 2 seems to have kicked it up a notch, however.

""The Nanny usually arrived at 9am (and stayed until 6pm). She knew that I was arriving home on Tuesday but didn't know what time,"" the mother of one wrote. "" An hour before she was supposed to arrive for the day, Kyle got a text message from her show up on his cell phone,"" Eva wrote. ""It said:

""'OMG. Girl, did I mention to you how hot and sex my Boss is. I would love to ... his brains out ha haah. Too bad he seems not to like thick Latin women with lots to hold on to LOL.'""

Kyle was freaked out enough that he took their daughter to breakfast while he figured out how to handle it, his wife wrote. Then on the way home, he saw the nanny  who'd shown up for work and let herself in with her key while they were out  peeking out from the master bedroom. Having decided that the text was no mistake, he raced out to work for the day.

""He also realized in that moment that he was going to record his entire confrontation with her,"" Eva said. ""Because he knew that clearly this chick was crazy  and who knows what she would try to make up or twist after the fact.""

A transcript of that conversation follows in the post, rendered as if it were a script. Key elements: She doesn't fall over herself with embarrassment when he calls her out on the inappropriate text. He writes her a check to pay her for the day's work, then he fires her.

Amurri's lady radar was working at full strength by this point.

""Clearly, that text was not a mistake. If it had been a mistake, she would have been humiliated, so frantic to make it right (I've been there with mistaken texts, I know). That text was sent out as a missive to test the proverbial waters with my husband and give her an opportunity later, when alone, to bring up a sexy dialogue with him,"" she wrote, praising her husband for how he handled the situation and flipping out a bit (OK, a lot) about the idea of this woman positioning herself to do the nasty with Mr. Martino.

Insult to injury: They were now without child care again, and Daddy was headed to the East Coast for 10 days.

To give themselves ample time to hire a new full-time nanny, Eva said, they all packed up, and she and her daughter tagged along for the ride.

""So here we are: in Westchester,"" she wrote. ""Together. Strangely, this bizarre Nanny experience brought us even closer (emotionally and geographically) than we would have been otherwise.""

Of course, Amurri Martino's online audience had some opinions, including one person who thought she should look after her child instead of hiring someone to do it. So, it was public smackdown time.

Great idea, Chris! Then maybe you can pay for everything in my life that I pay for with my salary? Thanks! Xo https://t.co/VXp2OPfvQv  Eva Amurri Martino (@TheHappilyEva) March 1, 2016

What's that thing they say? You can't get between two people unless the space between them is there already? Ms. Eva Amurri Martino seems to have that locked down.

Follow Christie D'Zurilla on Twitter @theCDZ and Google+. Follow the Ministry of Gossip on Twitter @LATcelebs.

ALSO

Jennifer Garner on her divorce: I had to explain the meaning of 'scandal' to the kids

Ben Affleck dating the nanny? 'Complete garbage, full of lies,' says rep who threatens legal action

Eva Amurri Martino, Kyle Martino welcome a baby; Susan Sarandon happy

Copyright  2016, Los Angeles Times"
"64","Even some immune cells cant resist sugarand it makes them hyperactive too.txt",294,606,32,"When we think of clogged arteries, we tend to vilify hamburgers, french fries, and other high-fat indulgence foods.

But these fatty foods have a quiet accomplice: sugar. Or rather, the immune cells that over-indulge on it.

Researchers from Stanford University have found that immune cells lurking in plaque buildups in arteries tend to over-consume sugar. When they do, they produce an over-zealous inflammatory response, which likely contributes to coronary artery disease (CAD)a condition in which constricted arteries restrict or block blood-flow around the heart, leading to heart attacks, heart failure and death. The disease affects about 16 million (pdf) Americans annually. Their research was published (paywall) Monday (Feb. 29) in the Journal of Experimental Medicine.

CAD is not just a disease of french fries and hamburgers, but a disease of the immune system, Cornelia Weyand, a rheumatologist and immunologist at Stanford and lead author of the study, told Quartz. Weyand and her colleagues found evidence that as certain types of white blood cells, which help fight infections, consume sugar in the blood, they produce a hormone called interleukin-6, which is associated with inflammation. Our bodies also produce IL-6 when were experiencing high levels of stress.

Inflammation is a crucial part of our immune systems; without it, we wouldnt be able to recover from anything from superficial cuts to live-saving surgeries, Weyand said. But equally critical to summoning an immune response is our bodys ability to turn it off. For years, scientists have understood that chronic inflammation plays a role in coronary artery disease and other conditions like rheumatoid arthritis, but they havent understood the specific mechanisms.

For this work, Weyand and her team examined the blood of 140 patients with CAD who had suffered at least one heart attack, and over 100 samples of blood from healthy patients. The immune cells from patients with CAD tended to consume more sugar than the immune cells from healthy patients.

They love to eat sugar. They pull in sugar, and they burn it. As they burn it, they make a few mistakes, Weyand says.

First, these cells produce extra IL-6, which causes inflammation. And in doing so, they also produce free-radicals, which are highly reactive chemicals that can cause damage to other parts of cells, like DNA or proteins needed for healthy cell function.

One of the proteins Weyand found to be damaged by these free radicals was a protein that normally helps derive energy from sugar. The alteration causes this protein to make its way into the cells nucleus, and hijack the cells normal activity to tell it to produce more inflammatory hormones. Its something of a snowball effect.

Weyand says that these changes are likely a result of many sets of genes in a persons body, and is currently working with her team to study the epigeneticsor family history of genesthat may lead to these other inflammatory side effects.

Medications that can target immune cells that produce too much IL-6 dont currently exist. Weyand and her team proposed several possible pharmaceutical routes that could be pursued. Simply altering your diet to keep fats and sugars low isnt enough keep your heart and arteries healthy, if youre at risk for CAD, Weyand said. If there is sugar in your bloodand you should always have someover-active immune cells will just keep gobbling it up.

The best thing you can do to keep your arteries clear and healthy, though, is exercise. Exercise is an important way of regulating glucose levels, Weyand says. When we exercise, our muscles pull in glucose to use for energy. Without that extra sugar in our blood streams, its unavailable for immune cells to over-indulge."
"65","Every Frame in Loving Vincent is an Oil Painting #ArtTuesday  Adafruit Industries  Makers, hackers, artists, designers and engineers!.txt",133,202,15,"March 1, 2016 AT 4:00 pm Every Frame in Loving Vincent is an Oil Painting #ArtTuesday

We cannot get over this project. From the concept to the work required for completion, this work of art is incredible. From Loving Vincent via Devour:

Loving Vincent features over one hundred and twenty of Vincent Van Goghs greatest paintings. The plot, drawn from the 800 letters written by the painter himself, lead us to the significant people and events in the time leading up to his unexpected death. Loving Vincent will be the worlds first feature-length painted animation, and is brought to you by Oscar winning film companies Breakthru Films and Trademark Films. Every frame in the Loving Vincent movie is an oil painting on canvas, using the very same technique in which Vincent himself painted.

Read more

Maker Business  Preparing for Production of The Essential Guide To Electronics in Shenzhen Wearables  Proper planning promotes positive results Electronics  Test for interference on the cheap! Biohacking  Drinking coffee may undo liver damage from booze

Get the only spam-free daily newsletter about wearables, running a ""maker business"", electronic tips and more! Subscribe at AdafruitDaily.com

No comments yet.

Sorry, the comment form is closed at this time."
"66","Facebook executive arrested over drug-trafficking case.txt",200,375,16,"Image copyright Getty Images Image caption A Facebook executive was being held in police custody, officers said

A Facebook executive has been arrested in Brazil after the firm failed to co-operate with court orders in a drug-trafficking case, police have said.

According to reports, Facebook's vice-president for Latin America, Diego Dzodan, was held for questioning in Sao Paulo on Tuesday.

Court officials in the Brazilian state of Sergipe requested his arrest.

Facebook said it was an ""extreme and disproportionate measure"".

""Facebook has always been and will be available to address any questions Brazilian authorities may have,"" the company said. It added that the arrest stemmed from a case involving its messaging service WhatsApp, which operates separately from the Facebook platform.

Federal police in Sao Paulo said they carried out an arrest warrant issued by a criminal judge from the Lagarto district, in Brazil's smallest state, Sergipe. A statement released by the force said Facebook had been ordered by a court to provide evidence that would aid an investigation into ""organised crime and drug trafficking"" that was being heard in private.

The Reuters news agency reported that court officials in Sergipe also confirmed the detention of Diego Dzodan.

A source told the BBC that the Facebook office in Brazil deals only in sales and said that no-one there had access to WhatsApp user information or the authority to make decisions on behalf of the messaging app.

Privacy concerns have frequently put Facebook and other internet giants at odds with Brazilian law enforcement officers seeking evidence in criminal cases, although the confrontations rarely rise to the prominence of Apple Inc's current stand-off with the US Federal Bureau of Investigation, Reuters said.

In December, a Brazilian judge suspended the Facebook-owned WhatsApp messaging service for about 12 hours after the firm failed to comply with two court orders to share information in a criminal case. WhatsApp is reported to be the most used application in Brazil, with about 93 million users.

Brazilian courts have not shied away from targeting senior tech officials. Reuters reported that, in 2012, an elections court in Mato Grosso do Sul ordered the detention of Google's most senior executive in Brazil after the company failed to take down YouTube videos attacking a local mayoral candidate."
"67","Facebook executive jailed in Brazil as court seeks WhatsApp data.txt",337,625,23,"By Brad Haynes

SAO PAULO (Reuters) - Brazilian police arrested a senior Facebook Inc executive on Tuesday as a dispute escalated over a court's demand that the company provide data from its WhatsApp messaging service to help in a secretive drug-trafficking investigation.

Court officials in Sergipe state confirmed that a judge had ordered the jailing of Facebook Vice President for Latin America Diego Dzodan. Federal police in Sao Paulo state said he was being held there for questioning.

Law enforcement officials withheld further information about the nature of their request to the messaging service that Facebook Inc acquired in 2014, saying that doing so could compromise an ongoing criminal investigation.

The arrest, which Facebook called an ""extreme and disproportionate measure,"" came as social media and Internet companies face mounting pressure from governments around the world to help them eavesdrop on users and filter content.

Arrests of officials from social media companies are extremely rare, though not unprecedented, because the companies typically comply with local court orders, especially from countries where they have branch offices.

""Precisely because these large global Internet companies have staff in many countries who are vulnerable to legal action including arrest and criminal charges, they generally do comply with legally binding requests from authorities for user data or to remove or block content in those countries where they have 'boots on the ground,'"" said Internet freedom activist Rebecca MacKinnon.

Prior to its acquisition by Facebook, California-based WhatsApp had less skin in the game in disputes with governments outside the United States because, unlike Facebook, it did not have staff scattered around the globe.

""WhatsApp is a company that was started very focused on U.S. laws,"" said Internet law attorney Marcia Hoffmann. ""Now that it's owned by a company with people and resources in other countries, there is more leverage for those governments to put pressure in new and in different ways. Arresting executives is one of them.""

While details of the case remain murky, court officials said the judge in Brazil resorted to the arrest after issuing a fine of 1 million reais ($250,000) to compel Facebook to help investigators access WhatsApp messages relevant to their drug-trafficking investigation.

That is likely impossible because WhatsApp began using end-to-end encryption technology in 2014 that prevents the company from monitoring messages that travel across its network, said Christopher Soghoian, principal technologist with the American Civil Liberties Union.

""They are using technology to try to take themselves out of the surveillance business,"" Soghoian said.

The arrest surfaced as Apple Inc finds itself at odds with the United States government on similar grounds.

U.S. prosecutors want the company to build a software tool to help investigators unlock the iPhone used by one of the shooters in the San Bernardino, California, attacks. Apple has refused, saying it would set a dangerous precedent that would make its customers vulnerable to spying. Privacy concerns have previously put Facebook at odds with Brazilian law enforcement seeking evidence in criminal cases, although the confrontations rarely rise to the prominence of Apple's current standoff with the U.S. authorities. In December, a judge suspended Facebook's popular WhatsApp phone-messaging service in Brazil for about 12 hours after it failed to comply with two court orders to share information in a criminal case.

Brazil passed an Internet law two years ago aimed at streamlining thorny legal issues, but lower courts still have vast discretionary powers according to legal expert Ronaldo Lemos, a chief architect of that 2014 law.

""The court of appeals tends to be more sensitive in these cases, but the lower courts are still tough, as today's decision shows,"" said Lemos.

(Reporting by Brad Haynes; Additional reporting by Jim Finkle, Jonathan Weber, Cesar Bianconi and Maria Pia Palermo; Editing by Daniel Flynn and Tom Brown)"
"68","Family murders_ 'Save me or he'll kill me too'.txt",40,47,3,"A neighbourhood near the western Indian city of Mumbai has reacted with shock after a man killed 14 members of his family.

The BBC spoke to neighbours of Hasnin Warekar who also took his own life after the attack, police said.

Filmed and edited by Suranjana Tewari"
"69","Floppy Emu Model B  a disk emulator for vintage computers  Adafruit Industries  Makers, hackers, artists, designers and engineers!.txt",196,564,29,"March 1, 2016 AT 1:00 pm Floppy Emu Model B  a disk emulator for vintage computers

Via Big Mess O Wires.

Today Im excited to introduce the first significant update to the Floppy Emu disk emulator for Apple II and classic Macintosh computers: Floppy Emu Model B. The new Model B has the same disk emulation functions as the Model A and Universal Adapter, but with several new convenience features:

Built-in Apple II Compatibility  Model B is directly compatible with the entire Apple II line, emulating a 5 1/4 inch disk, 3 1/2 inch disk, or Smartport hard disk. While Model A required a separate Universal Adapter for the best Apple II compatibility, Model B has the equivalent functionality built-in. Classic Macintosh and Lisa disk emulation is still supported too.

 Model B is directly compatible with the entire Apple II line, emulating a 5 1/4 inch disk, 3 1/2 inch disk, or Smartport hard disk. While Model A required a separate Universal Adapter for the best Apple II compatibility, Model B has the equivalent functionality built-in. Classic Macintosh and Lisa disk emulation is still supported too. microSD Card Support  The SD card slot is now a push-push microSD type, identical to whats used in most mobile phones. This will make it easier to find suitable SD card media, since the older full-size SD cards are becoming rare.

 The SD card slot is now a push-push microSD type, identical to whats used in most mobile phones. This will make it easier to find suitable SD card media, since the older full-size SD cards are becoming rare. SD Card Hot-Swap  The SD card can be removed and re-inserted while the Floppy Emu is powered on.

 The SD card can be removed and re-inserted while the Floppy Emu is powered on. Improved Protection Circuitry  Model B features improved protection circuitry on the disk drive interface connector. This circuitry will help protect the Floppy Emu from electrical damage caused by voltage spikes and surges. It also eliminates the risk of potential damage if an Emu board running the Apple II firmware is inadvertently connected to a Mac or Lisa computer.

 Model B features improved protection circuitry on the disk drive interface connector. This circuitry will help protect the Floppy Emu from electrical damage caused by voltage spikes and surges. It also eliminates the risk of potential damage if an Emu board running the Apple II firmware is inadvertently connected to a Mac or Lisa computer. Same Great Emulation Features  All of the time-tested Macintosh, Apple II, and Lisa disk emulation features from Model A are still present. Model B reads and writes emulated 140K, 400K, 800K, or 1.4MB floppy disk images, or hard disk images up to 2GB, if supported by your Apple computer. For full details, see the instruction manual.

If youre new to Floppy Emu, its an external hardware device for vintage Macintosh, Apple II, or Lisa computers. It uses a removable SD memory card to mimic an Apple floppy disk and drive, or an Apple hard drive. The Emu behaves exactly like a real disk drive, requiring no special software or drivers. Floppy Emu is perfect for booting your favorite games, moving files between modern and vintage machines, and troubleshooting a computer without a working OS. Just plug in the Emu board, and youll be up and running in seconds."
"70","France razes migrant camp as Greece seeks EU aid.txt",420,819,36,"Calais (France) (AFP) - Demolition workers tore down more makeshift shelters in France's grim ""Jungle"" migrant camp Tuesday, as Greece pleaded for EU aid to help shelter thousands of refugees stuck in misery at its border.

In the northern French port city of Calais, tensions were high as officials for a second day razed part of the Jungle camp, which has become a magnet for people hoping to reach Britain.

Some sat on the roofs of their shacks, covered in blankets against the driving rain and freezing wind in a bid to stop their temporary homes from being pulled apart.

Officials tried to convince inhabitants to leave voluntarily and move to better accommodation provided for them, but many refused, fearing it will take them further from their goal of reaching Britain.

There was no repeat of the violent clashes that erupted on Monday, but some remained defiant in the face of the bulldozers.

""We have already seen prison and torture, this doesn't scare us,"" a migrant told one of the teams.

View gallery Policemen stand next to migrants on the roofs of their shacks in a bid to stop their temporary homes 

Officials say the demolition will affect between 800 and 1,000 people, although charities working there say there are more than 3,450 people in the southern half of the camp, including 300 unaccompanied children.

One Sudanese migrant, Nureen, watched as the destruction moved gradually towards his makeshift home. He had been told to leave by Wednesday morning.

""Unfortunately, we cannot fight the police,"" he said. ""There is nothing for us to do. We will just be left in the cold winter.""

- Greek misery -

The late winter freeze brought similar misery to Greece's border with Macedonia, the latest flashpoint in Europe's worst migration crisis since World War II, which many fear poses a threat to the very core of the European project.

View gallery Migrants keep warm around a fire as agents dismantle shacks on March 1, 2016 in the ""Jungle&quo 

Athens said Tuesday it had requested nearly half a billion euros in emergency funds from the European Union to help shelter 100,000 refugees.

More than 7,000 people have been stuck on the border after Balkan states imposed a tight daily limit on the number of migrants allowed to enter.

Bleak scenes saw the refugees stranded in mud-soaked fields and fighting over food distributed from the back of a van.

""We have been waiting for six days,"" said Farah, a 32-year-old Syrian, as a van distributing canned food and long-life milk was quickly mobbed and emptied in minutes.

""The food is not enough, everyone is lying to us and we are desperate,"" she said.

View gallery More than 14,000 migrants are waiting to cross the Greece-Macedonia border (AFP Photo/Sakis Mitrolid 

The grim situation has sparked growing criticism of countries that have capped the number of migrants they are willing to let in, under the strain of a flood of people fleeing poverty and conflict in Africa and the Middle East -- notably Syria.

Top NATO General Philip Breedlove said the crisis was playing into the hands of Russia by destabilising Europe, accusing the Syrian regime and its ally Moscow of ""deliberately weaponising migration in an attempt to overwhelm European structures and break European resolve"".

The UN said over 131,000 migrants had crossed the Mediterranean to reach Europe so far this year, more than the total number for the first five months of 2015.

- EU chief on crisis tour -

The EU lashed out at Macedonian police for tear-gassing desperate refugees who tried to force their way across the border with Greece on Monday, saying it was ""not our idea of managing the crisis"".

View gallery Migrants and refugees walk to cross the Greece-Macedonia border near the village of Idomeni, on Marc 

Despite the criticism, countries in the firing line were standing firm.

""We cannot take in hundreds of thousands of people. We are not Germany's waiting room,"" Austrian Chancellor Werner Faymann told the Heute newspaper.

""It cannot be that people are just waved through Greece, Macedonia and Croatia and that Austria does the EU's job of sharing them around.""

Macedonia said it would stepping up troop numbers on the border

In a bid to ease the deep divisions over the crisis, EU president Donald Tusk set off Tuesday on a tour taking him to Vienna and the Balkan states, as well as Turkey, the main departure point for refugees, where he will press for ""a more intensive engagement"" from the government.

Germany, which registered 1.1 million migrants in 2015, said it had reached an agreement with Tunisia to speed up the repatriation of rejected asylum-seekers from the North African country, which it considers safe.

And 308 migrants -- mostly from Morocco, Tunisia and Algeria -- are being sent back to Turkey by Wednesday under a deal signed between the two countries in 2002, according to a source in the citizens' protection ministry."
